,Method,Slice,Violation_gap
261,Proposed_HSRS,Critical Slice,0.0
262,Proposed_HSRS,Performance Slice,0.0
263,Proposed_HSRS,Business Slice,98.129096752192
264,Optimal ILP,Critical Slice,0.0
265,Optimal ILP,Performance Slice,0.0
266,Optimal ILP,Business Slice,8.055297230407994
267,BestCQI,Critical Slice,100.0
268,BestCQI,Performance Slice,100.0
269,BestCQI,Business Slice,100.0
270,NVS,Critical Slice,0.0
271,NVS,Performance Slice,51.678212465324805
272,NVS,Business Slice,74.70330149026
273,Proposed_HSRS,Critical Slice,0.0
274,Proposed_HSRS,Performance Slice,0.0
275,Proposed_HSRS,Business Slice,74.75832787216
276,Optimal ILP,Critical Slice,0.0
277,Optimal ILP,Performance Slice,0.0
278,Optimal ILP,Business Slice,0.0
279,BestCQI,Critical Slice,100.0
280,BestCQI,Performance Slice,97.04380375866879
281,BestCQI,Business Slice,78.5131856146
282,NVS,Critical Slice,0.0
283,NVS,Performance Slice,49.668473114886396
284,NVS,Business Slice,73.67225894374
285,Proposed_HSRS,Critical Slice,0.0
286,Proposed_HSRS,Performance Slice,0.0
287,Proposed_HSRS,Business Slice,56.23130768608
288,Optimal ILP,Critical Slice,0.0
289,Optimal ILP,Performance Slice,0.0
290,Optimal ILP,Business Slice,9.02849105408
291,BestCQI,Critical Slice,100.0
292,BestCQI,Performance Slice,100.0
293,BestCQI,Business Slice,100.0
294,NVS,Critical Slice,0.0
295,NVS,Performance Slice,61.9233117464128
296,NVS,Business Slice,71.610173745952
297,Proposed_HSRS,Critical Slice,0.0
298,Proposed_HSRS,Performance Slice,0.0
299,Proposed_HSRS,Business Slice,79.880031091072
